Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,930101926,1001326451,24C12FJNLF,12.03.24,12,UN,,582
P109,I93,930101926,1001331209,24C15FJNLC,15.03.24,12,UN,,579
P109,I93,930101926,1001391395,24G12FJNLE,12.07.24,12,UN,,460
P109,I93,930101926,1001435815,25A06FJNLA,06.01.25,12,UN,,282
P109,I93,930101928,1001476392,25B03FJHLC,03.02.25,12,UN,,254
P109,I93,930101928,1001476413,25B04FJHLA,04.02.25,12,UN,,253
P109,I93,930101928,1001476433,25B04FJHLD,04.02.25,12,UN,,253
P109,I93,930101928,1001476438,25B04FJHLE,04.02.25,12,UN,,253
P109,I93,930101926,1001476490,25B06FJNLC,06.02.25,12,UN,,251
P109,I93,930101926,1001476494,25B06FJNLD,06.02.25,12,UN,,251
P109,I93,930101926,1001476526,25B07FJNLE,07.02.25,12,UN,,250
P109,I93,930102055,1001487363,25C03AJAEB,03.03.25,12,UN,,226
P109,I93,930102055,1001487369,25C03AJAEC,03.03.25,12,UN,,226
P109,I93,930102055,1001487401,25C03AJAEG,03.03.25,12,UN,,226
P109,I93,930102055,1001487504,25C04AJAEC,04.03.25,12,UN,,225
P109,I93,930102055,1001487513,25C04AJAEE,04.03.25,12,UN,,225
P109,I93,930102055,1001487517,25C04AJAEF,04.03.25,12,UN,,225
P109,I93,930102055,1001492139,25C06AJAEE,06.03.25,12,UN,,223
P109,I93,930102055,1001492144,25C06AJAEF,06.03.25,12,UN,,223
P109,I93,930102055,1001492156,25C07AJAEB,07.03.25,12,UN,,222
P109,I93,930102055,1001492160,25C07AJAEC,07.03.25,12,UN,,222
P109,I93,930102055,1001492228,25C07AJAED,07.03.25,12,UN,,222
P109,I93,930102055,1001492235,25C07AJAEE,07.03.25,12,UN,,222
P109,I93,930102055,1001499426,25C14AJAEC,14.03.25,12,UN,,215
P109,I93,930102055,1001499506,25C14AJAEE,14.03.25,12,UN,,215
P109,I93,930102055,1001500899,25C17AJAEA,17.03.25,12,UN,,212
P109,I93,930102055,1001502350,25C18AJAEB,18.03.25,12,UN,,211
P109,I93,930102055,1001503366,25C18AJAED,18.03.25,12,UN,,211
P109,I93,930102055,1001504256,25C20AJAEA,20.03.25,12,UN,,209
P109,I93,930102055,1001505691,25C21AJAEC,21.03.25,12,UN,,208
P109,I93,930102055,1001505703,25C21AJAEF,21.03.25,12,UN,,208
P109,I93,930102055,1001507695,25C20AJAEB,20.03.25,12,UN,,209
P109,I93,930102055,1001515744,25C31AJAEA,31.03.25,12,UN,,198
P109,I93,930102055,1001515908,25C29AJAEB,29.03.25,12,UN,,200
P109,I93,930102055,1001516029,25C29AJAEC,29.03.25,12,UN,,200
P109,I93,930102055,1001516051,25C29AJAED,29.03.25,12,UN,,200
P109,I93,930102055,1001524275,25D07AJAEB,07.04.25,12,UN,,191
P109,I93,930102055,1001525669,25D07AJAED,07.04.25,12,UN,,191
P109,I93,930102055,1001525971,25D05AJAEC,05.04.25,12,UN,,193
P109,I93,930102055,1001525979,25D05AJAEA,05.04.25,12,UN,,193
P109,I93,930102055,1001545868,25D01AJAEC,01.04.25,12,UN,,197
P109,I93,930102055,1001545872,25D01AJAED,01.04.25,12,UN,,197
P109,I93,930102055,1001545902,25D02AJAEA,02.04.25,12,UN,,196
P109,I93,920100670,1001613745,25J04GJNED,04.10.25,12,UN,,11
P109,I93,920100670,1001614107,25J06GJNED,06.10.25,12,UN,,9
P109,I93,920100669,1001614521,25J08GJIEC,08.10.25,12,UN,,7
P109,I93,920100668,1001615578,25J10GJAEH,10.10.25,12,UN,,5
P109,I93,920100669,1001615614,25J11GJIEB,11.10.25,12,UN,,4
P109,I93,920100669,1001615619,25J11GJIEC,11.10.25,12,UN,,4
P109,I93,920100669,1001615633,25J13GJIEB,13.10.25,12,UN,,2
P109,I93,930101927,1001361538,24E06FJALB,06.05.24,11,UN,,527
P109,I93,930101927,1001362807,24E08FJALB,08.05.24,11,UN,,525
P109,I93,920100669,1001614249,25J07GJIEC,07.10.25,11,UN,,8
P109,I93,920100669,1001614256,25J07GJIED,07.10.25,11,UN,,8
P109,I93,920100669,1001614511,25J08GJIEA,08.10.25,11,UN,,7
P109,I93,920100669,1001614517,25J08GJIEB,08.10.25,11,UN,,7
P109,I93,920100669,1001614522,25J08GJIEC,08.10.25,11,UN,,7
P109,I93,920100669,1001614526,25J08GJIED,08.10.25,11,UN,,7
P109,I93,920100669,1001615613,25J11GJIEA,11.10.25,11,UN,,4
P109,I93,920100669,1001615616,25J11GJIEB,11.10.25,11,UN,,4
P109,I93,920100669,1001615620,25J11GJIEC,11.10.25,11,UN,,4
P109,I93,920100669,1001615626,25J13GJIEA,13.10.25,11,UN,,2
P109,I93,920100669,1001615635,25J13GJIEB,13.10.25,11,UN,,2
